names,scores,logfoldchanges,pvals,pvals_adj
GZMB,227.52463,2.176486,0.0,0.0
CXCL13,199.66264,4.3484635,0.0,0.0
GAPDH,194.60275,0.93737274,0.0,0.0
LAG3,182.70093,1.8001022,0.0,0.0
HLA-DRB1,178.23004,1.3009063,0.0,0.0
CTLA4,178.08351,2.7106807,0.0,0.0
SH3BGRL3,178.00334,0.74148774,0.0,0.0
DUSP4,175.22054,1.7828965,0.0,0.0
GZMA,173.81805,1.1647611,0.0,0.0
LSP1,168.66583,0.8404796,0.0,0.0
RBPJ,167.6986,1.8810465,0.0,0.0
RGS1,161.63359,1.4276097,0.0,0.0
NKG7,155.82805,1.0780373,0.0,0.0
CCL5,153.76035,0.80510163,0.0,0.0
CD63,153.41402,1.2605395,0.0,0.0
HAVCR2,150.98979,3.3087664,0.0,0.0
CD3D,149.64203,0.71121204,0.0,0.0
ITGAE,148.05547,1.562793,0.0,0.0
TIGIT,148.02197,1.6649389,0.0,0.0
ACTB,146.53764,0.5157448,0.0,0.0
PFN1,144.61206,0.55543107,0.0,0.0
CD7,143.50786,0.92728543,0.0,0.0
HLA-DRA,142.0823,1.3504517,0.0,0.0
HLA-DPA1,139.75029,0.93609947,0.0,0.0
PDCD1,137.94131,1.7814816,0.0,0.0
PRF1,137.17157,1.072387,0.0,0.0
GZMH,133.57681,1.0814077,0.0,0.0
PHLDA1,133.38269,1.5846256,0.0,0.0
ALOX5AP,132.8427,1.0179808,0.0,0.0
PTMS,131.80045,1.6632215,0.0,0.0
CXCR6,129.95444,1.481599,0.0,0.0
CD74,129.08626,0.814208,0.0,0.0
CFL1,127.5887,0.4790579,0.0,0.0
ANXA5,127.5265,1.091102,0.0,0.0
ACP5,125.96125,2.309132,0.0,0.0
ARPC2,124.83022,0.60434073,0.0,0.0
HLA-DPB1,124.48896,0.8172125,0.0,0.0
PSMB9,124.22253,0.7209582,0.0,0.0
TPI1,122.68477,0.8096617,0.0,0.0
APOBEC3G,122.20704,0.9802331,0.0,0.0
HLA-DQA1,119.46678,1.2208126,0.0,0.0
CLIC1,119.23628,0.63848937,0.0,0.0
CD82,118.86044,1.456187,0.0,0.0
COTL1,118.60437,0.80488783,0.0,0.0
HLA-A,116.86826,0.31021643,0.0,0.0
FABP5,116.44969,1.2523867,0.0,0.0
RGS2,115.97437,1.204265,0.0,0.0
CARD16,115.87415,1.1809571,0.0,0.0
PGAM1,114.48518,0.8940898,0.0,0.0
FKBP1A,113.189804,1.0439364,0.0,0.0
PARK7,112.29772,0.8109339,0.0,0.0
RHOA,111.70216,0.5461147,0.0,0.0
MYL6,111.396965,0.48623452,0.0,0.0
TNFRSF9,111.296555,2.3911278,0.0,0.0
VCAM1,110.530556,2.9521139,0.0,0.0
PSMB8,110.08105,0.772494,0.0,0.0
CD2,109.47261,0.61956936,0.0,0.0
CORO1A,109.028786,0.5028668,0.0,0.0
CTSW,108.79705,0.84683836,0.0,0.0
SIRPG,108.62437,1.489394,0.0,0.0
SAMSN1,108.439964,0.8278042,0.0,0.0
BST2,108.235435,0.94450414,0.0,0.0
CD8A,107.97147,0.600437,0.0,0.0
SUMO2,107.00159,0.5648914,0.0,0.0
TOX,106.79542,1.3456587,0.0,0.0
BATF,105.396454,1.2671787,0.0,0.0
ENTPD1,104.82013,3.7256575,0.0,0.0
PSME2,104.74382,0.7028379,0.0,0.0
PTPRCAP,103.03001,0.50826496,0.0,0.0
RAC2,102.12828,0.46840665,0.0,0.0
HMGB1,100.925644,0.51492226,0.0,0.0
CLEC2B,100.01911,0.71505314,0.0,0.0
PTPN22,99.84454,0.83469146,0.0,0.0
GBP5,99.72181,0.8836446,0.0,0.0
IFNG,99.6317,1.1142449,0.0,0.0
RAB27A,99.394,1.0712806,0.0,0.0
HSPB1,99.346756,1.0000252,0.0,0.0
PPP1CA,98.69062,0.69965786,0.0,0.0
PKM,98.66504,0.8131606,0.0,0.0
CCL3,97.36769,1.835652,0.0,0.0
CTSC,95.73686,0.7244492,0.0,0.0
GEM,95.236275,3.293229,0.0,0.0
LAYN,94.52615,3.7229123,0.0,0.0
KLRD1,94.16962,0.91669333,0.0,0.0
APOBEC3C,93.96632,1.1822443,0.0,0.0
COX8A,93.79453,0.6365598,0.0,0.0
ARPC1B,93.26249,0.5839206,0.0,0.0
HLA-DRB5,91.25186,1.0026662,0.0,0.0
SERF2,90.86015,0.36955807,0.0,0.0
LY6E,90.07823,0.60010344,0.0,0.0
ARPC3,88.26241,0.45304653,0.0,0.0
HLA-DMA,88.04567,1.1454825,0.0,0.0
PRDM1,87.97139,0.892847,0.0,0.0
SNX9,87.81704,1.3895595,0.0,0.0
HMGB2,86.40544,0.85866517,0.0,0.0
DRAP1,86.05475,0.60563105,0.0,0.0
GNG5,85.78228,0.66202724,0.0,0.0
CAPZB,85.69619,0.51055443,0.0,0.0
IFI27L2,85.59935,0.9528515,0.0,0.0
EID1,85.55844,0.67267096,0.0,0.0
LCP2,84.97514,0.6116478,0.0,0.0
GALNT2,84.61466,1.8418133,0.0,0.0
ID2,84.05401,0.60680825,0.0,0.0
CD3G,83.98424,0.49858516,0.0,0.0
ACTG1,83.81867,0.37262702,0.0,0.0
PRDX5,83.64849,0.7580329,0.0,0.0
PTTG1,83.36297,1.215125,0.0,0.0
LYST,83.2424,0.93807447,0.0,0.0
IFI16,83.091064,0.713186,0.0,0.0
ZNF683,82.39361,1.227947,0.0,0.0
EVL,82.20425,0.4684752,0.0,0.0
ACTN4,81.80863,0.72058564,0.0,0.0
IDH2,81.420685,0.7806642,0.0,0.0
PSMB3,81.00109,0.6752417,0.0,0.0
ITGB1,80.5675,0.74053895,0.0,0.0
ABI3,80.23793,0.8818992,0.0,0.0
CHST12,80.21239,0.9435484,0.0,0.0
PDIA6,80.15529,0.7793128,0.0,0.0
HNRNPA3,80.14811,0.52240485,0.0,0.0
CACYBP,80.00886,0.6985288,0.0,0.0
SMC4,79.76705,1.5047253,0.0,0.0
ZEB2,79.31155,0.7177197,0.0,0.0
DBI,79.17257,0.608767,0.0,0.0
COX5A,79.12811,0.6523552,0.0,0.0
NAB1,78.72894,1.9086846,0.0,0.0
