names,scores,logfoldchanges,pvals,pvals_adj
DYNLL1,49.426014,0.91071975,0.0,0.0
DNAJB1,48.94607,1.0230172,0.0,0.0
ALOX5AP,48.916687,1.2389071,0.0,0.0
IL6ST,48.824245,1.1664778,0.0,0.0
LSP1,48.51361,0.67168987,0.0,0.0
LAG3,48.293785,2.9719672,0.0,0.0
HNRNPLL,48.2664,1.256295,0.0,0.0
CTSC,48.04934,1.174362,0.0,0.0
LIMS1,47.81598,1.2062699,0.0,0.0
GEM,47.31068,2.6108603,0.0,0.0
BHLHE40,47.28888,1.6551542,0.0,0.0
PLIN2,47.103725,1.4987643,0.0,0.0
IFNG,46.8924,3.0721269,0.0,0.0
AKAP13,46.871048,0.8739227,0.0,0.0
IFI16,46.86064,1.0615258,0.0,0.0
RHBDD2,46.64971,1.1529908,0.0,0.0
PTPN13,46.155304,3.138293,0.0,0.0
MYL6,46.03392,0.51312816,0.0,0.0
CD3D,45.82028,0.5823882,0.0,0.0
SH3BGRL3,45.63922,0.5107758,0.0,0.0
GNAS,45.63303,0.791238,0.0,0.0
YWHAQ,45.535374,0.9495851,0.0,0.0
CREM,45.477688,0.9669695,0.0,0.0
GALM,45.42261,1.5822619,0.0,0.0
CYTIP,45.292683,0.6933039,0.0,0.0
FKBP1A,45.29182,1.0131589,0.0,0.0
CD247,45.258053,0.83346605,0.0,0.0
TNFRSF1B,45.09984,1.1063162,0.0,0.0
CST7,44.98683,1.1901994,0.0,0.0
SERF2,44.938282,0.41532964,0.0,0.0
CTSB,44.668648,1.1690878,0.0,0.0
C9orf16,44.48521,0.85818857,0.0,0.0
LYST,44.462635,1.7650044,0.0,0.0
TANK,44.247063,1.1580472,0.0,0.0
SH2D1A,44.190258,1.4200208,0.0,0.0
HIF1A,44.086727,1.1873155,0.0,0.0
GNAI2,44.08146,0.8852366,0.0,0.0
GPRIN3,44.067352,1.1645747,0.0,0.0
BAG3,43.84117,1.4627875,0.0,0.0
PTPN7,43.808598,1.2867155,0.0,0.0
FYN,43.562828,0.79528385,0.0,0.0
SIRPG,43.537323,1.3125085,0.0,0.0
NAP1L4,43.465008,1.0311445,0.0,0.0
ANXA5,43.464893,1.0873669,0.0,0.0
LCP2,43.320843,0.785945,0.0,0.0
GNG5,43.30166,0.84351414,0.0,0.0
NDUFV2,43.103725,0.81840533,0.0,0.0
RAB11FIP1,43.051434,1.4463463,0.0,0.0
BTG3,42.997734,1.2663069,0.0,0.0
DUSP5,42.767124,1.3733033,0.0,0.0
PTMS,42.672523,2.7387536,0.0,0.0
CCDC50,42.484413,2.3798113,0.0,0.0
EIF5,42.307632,0.6843715,0.0,0.0
SMARCA2,42.129753,1.2521642,0.0,0.0
AHI1,42.053238,2.2948813,0.0,0.0
NMB,41.84207,3.1161413,0.0,0.0
GLCCI1,41.770508,1.4306042,0.0,0.0
NFKBIA,41.53426,0.7429266,0.0,0.0
PSMB9,41.359627,0.6781698,0.0,0.0
GSPT1,41.27798,0.8965818,0.0,0.0
PMAIP1,41.258266,1.208721,0.0,0.0
RAB27A,40.90428,1.6486286,0.0,0.0
HLA-DPB1,40.74887,1.0473568,0.0,0.0
CLIC1,40.416145,0.60116315,0.0,0.0
SEC11A,40.25046,0.94988775,0.0,0.0
ETV7,40.19542,2.599075,0.0,0.0
WDR83OS,40.138233,0.7808946,0.0,0.0
GBP2,40.112022,1.0294058,0.0,0.0
CDV3,39.993008,1.0410092,0.0,0.0
ACTN4,39.960506,1.1195105,0.0,0.0
ALDOA,39.853992,0.611132,0.0,0.0
SUMO2,39.727673,0.49424177,0.0,0.0
COX8A,39.672646,0.6559727,0.0,0.0
PARK7,39.57848,0.71993613,0.0,0.0
AHSA1,39.422283,1.1059921,0.0,0.0
HERPUD1,39.398598,0.8565309,0.0,0.0
RAC2,39.370575,0.44890898,0.0,0.0
SAT1,39.271343,0.7778415,0.0,0.0
CCL4,39.096756,2.651982,0.0,0.0
DYNLRB1,38.870014,0.99539465,0.0,0.0
SMAP2,38.84121,0.73769546,0.0,0.0
PTPRCAP,38.760925,0.5715341,0.0,0.0
