Epoch	Train_Acc	Val_Acc
1	0.9704	0.9624
2	0.9763	0.9642
3	0.9800	0.9648
4	0.9828	0.9723
5	0.9848	0.9682
6	0.9863	0.9701
7	0.9875	0.9732
8	0.9888	0.9720
9	0.9895	0.9735
10	0.9906	0.9724
11	0.9922	0.9733
12	0.9929	0.9729
13	0.9938	0.9736
14	0.9951	0.9733
15	0.9959	0.9738
16	0.9965	0.9736
17	0.9970	0.9739
18	0.9978	0.9737
19	0.9979	0.9743
